query,passage
বিখ্যাত বাংলাদেশী চলচ্চিত্র পরিচালক মোরশেদুল ইসলামের প্রথম পরিচালিত চলচ্চিত্রের নাম কী ?,"তার পরিচালিত প্রথম স্বল্পদৈর্ঘ্য চলচ্চিত্র আগামী (১৯৮৪)। ছবিটির জন্য তিনি ১০ম ভারতীয় আন্তর্জাতিক চলচ্চিত্র উত্‍সবে শ্রেষ্ঠ পরিচালনার জন্য 'রৌপ্য ময়ূর' এবং ৯ম জাতীয় চলচ্চিত্র পুরস্কারে শ্রেষ্ঠ স্বল্পদৈর্ঘ্য চলচ্চিত্রের পুরস্কার লাভ করেন।[2] ১৯৯৩ সালে নির্মাণ করেন চাকা। এটিও আন্তর্জাতিকভাবে প্রশংসিত হয় এবং তিনি মানহাইম-হেইডেলবার্গ আন্তর্জাতিক চলচ্চিত্র উত্‍সব থেকে শ্রেষ্ঠ পরিচালনার জন্য আন্তর্জাতিক জুরি পুরস্কার এবং ডানকার্ক আন্তর্জাতিক চলচ্চিত্র উত্‍সব থেকে শ্রেষ্ঠ চলচ্চিত্র হিসেবে 'গ্রাঁ প্রিঁ' ও শ্রেষ্ঠ পরিচালনার জন্য আন্তর্জাতিক জুরি পুরস্কার অর্জন করে। নব্বইয়ের দশকের শেষের দিকে নির্মাণ করেন দীপু নাম্বার টু (১৯৯৬) এবং দুখাই (১৯৯৭)। দুখাই শ্রেষ্ঠ চলচ্চিত্র বিভাগে জাতীয় চলচ্চিত্র পুরস্কার লাভ করে। ২০০০-এর দশকে নির্মাণ করেন দূরত্ব (২০০৪), খেলাঘর (২০০৬) এবং প্রিয়তমেষু (২০০৯)। ২০১১ সালে নির্মাণ করেন আমার বন্ধু রাশেদ। ছবিটি প্রশংসিত হয়। ২০১৫ সালে নির্মাণ করেন অনিল বাগচীর একদিন। ছবিটি জাতীয় এবং আন্তর্জাতিক অঙ্গনে প্রশংসিত হয়। মোরশেদুল ইসলাম ছবিটির জন্য যৌথভাবে শ্রেষ্ঠ চলচ্চিত্র এবং প্রথমবারের মত শ্রেষ্ঠ পরিচালক বিভাগে জাতীয় চলচ্চিত্র পুরস্কার লাভ করেন।"
পশ্চিমবঙ্গের মুর্শিদাবাদ জেলার সদর শহর কোনটি ?,"মুর্শিদাবাদ জেলা পূর্ব ভারতের পশ্চিমবঙ্গ রাজ্যের মালদা বিভাগের একটি জেলা। এই জেলার মধ্য দিয়ে ভাগীরথী নদী বয়ে গিয়ে জেলাকে দুভাগে ভাগ করেছে। নদীর পশ্চিমের অংশ রাঢ় ও পূর্বের অংশ বাঘিড়া নামে পরিচিত।[2] ৫.৩১৪ বর্গ কিলোমিটার (২,০৬২ বর্গ মাইল) আয়তনের এলাকা এবং ৭১.০২ লক্ষ জনসংখ্যা থাকায় এটি একটি জনবহুল জেলা। মুর্শিদাবাদ ভারতের নবমতম (ভারতের ৬৪১টি জেলার মধ্যে) জনবহুল জেলা।[3] এই জেলার সদর দপ্তর বহরমপুর শহরে অবস্থিত।"
ঔপন্যাসিক অদ্বৈত মল্লবর্মনের জন্ম কোথায় হয় ?,"অদ্বৈত মল্লবর্মণ (১লা জানুয়ারি, ১৯১৪- ১৬ই এপ্রিল, ১৯৫১) বাঙালি ঔপন্যাসিক ও সাংবাদিক। তৎকালীন কুমিল্লা জেলার অধীনে ব্রাহ্মণবাড়ীয়া মহকুমার গোকর্ণঘাট গ্রামে জন্মগ্রহণ করেন। তিতাস একটি নদীর নাম শিরোনামের একটিমাত্র উপন্যাস লিখে তিনি বাংলা সাহিত্যের চিরস্মরণীয় ও অমর প্রতিভা হিসেবে সবিশেষ স্বীকৃতি লাভ করেন। এই উপন্যাসটি সর্বপ্রথম 'মাসিক মোহাম্মদী' পত্রিকায় প্রকাশিত হয়।"
বাঙালি জাতীয়তাবাদের বিকাশ কবে ঘটে ?,"বাঙালি জাতীয়তাবাদ হল একটি রাজনৈতিক অভিব্যক্তি যার মাধ্যমে প্রাচিন কাল থেকে দক্ষিণ এশিয়াতে বসবাসরত বাঙালি জাতি, তথা বাংলা ভাষাগত অঞ্চলের অধিবাসীদের বুঝানো হয়ে থাকে। বাঙালি জাতি উপমহাদেশের একটি অন্যতম জাতীয়তাবাদী চেতনায় প্রভাবিত এক প্রভাবশালী জাতি। বাঙালি জাতিকে উপমহাদেশের ব্রিটিশ বিরোধী আন্দোলনের রুপকার বলা হয়ে থাকে। অবিভক্ত বাংলা পরবর্তীতে ব্রিটিশ চক্রান্তে বিভক্ত করা হয়। প্রাচীন বঙ্গদেশ অর্থাৎ বাংলাদেশ ও ভারতের পশ্চিমবঙ্গ, ত্রিপুরা, আসাম ও আন্দামান ও নিকোবর দ্বীপপুঞ্জে বসবাসকারী মানব সম্প্রদায়ের একতাবদ্ধ পরিচয়কে বাঙালি জাতীয়তাবাদ বলা হয় যাদের ইতিহাস অন্ততঃ চার হাজার বছর পুরোনো। এদের মাতৃভাষা বাংলা। ১৯ শতকে উদ্ভূত বাংলার নবজাগরণ এবং ভারতীয় স্বাধীনতা আন্দোলন, বাংলা ভাষা আন্দোলন, বাংলাদেশ মুক্তিযুদ্ধ এবং ১৯৭১ সালে বাংলাদেশ ও একটি অবিভক্ত স্বাধিন বাংলা সৃষ্টি পেছনে প্রধান অনুপ্রেরণা হিসাবে কাজ করছে।"
জৈনধর্মের চব্বিশ জন তীর্থঙ্করের মধ্যে প্রথম তীর্থঙ্করের নাম কী ?,"তীর্থঙ্করদের ‘শিক্ষক ঈশ্বর’, ‘পথ-স্রষ্টা’, ‘যাত্রাপথ-স্রষ্টা’ ও ‘নদীপারাপারের পথস্রষ্টা’ বলা হয়।[7][3] জৈন বিশ্বতত্ত্ব অনুসারে, প্রত্যেক বিশ্বজনীন কালচক্রের অর্ধেক সময়ে ঠিক ২৪ জন তীর্থঙ্কর ব্রহ্মাণ্ডের এই অংশকে কৃপা করেন। প্রথম তীর্থঙ্কর ছিলেন ঋষভনাথ। কথিত আছে, তিনিই মানবজাতিকে শান্তিপূর্ণভাবে সমাজবদ্ধ অবস্থায় বাস করার পদ্ধতি শিক্ষা দেন এবং সংগঠিত করেন। বর্তমান চক্রার্ধের ২৪শ তথা শেষ তীর্থঙ্কর ছিলেন মহাবীর (খ্রিস্টপূর্ব ৫৯৯-৫২৭ অব্দ)।[6][8] মহাবীর এবং তাঁর পূর্বসূরি ২৩শ তীর্থঙ্কর পার্শ্বনাথ ঐতিহাসিক ব্যক্তিত্ব ছিলেন।[9]"
চীনা লিখন পদ্ধতি সর্বপ্রথম কে আবিষ্কার করে ?,"লিখন পদ্ধতির ঠিক কবে জন্ম হয়েছিল, তা সঠিক জানা যায় না। বিশ্বের নানা দেশে তাই লিপির উদ্ভব নিয়ে প্রচলিত আছে নানা উপকথা। চীনের উপকথা অনুসারে সাং চিয়েন নামের এক ড্রাগনমুখো লোক প্রাচীনকালে চীনা অক্ষরগুলি তৈরি করেছিলেন। অন্যদিকে মিশরের উপকথা অনুযায়ী পাখির মত মাথা ও মানুষের মত দেহবিশিষ্ট দেবতা থথ্‌ সৃষ্টি করেছিলেন মিশরীয় লিপি। ভারতের উপকথামতে হিন্দু দেবতা ব্রহ্মা ভারতবর্ষের প্রাচীন লিপি আবিষ্কার করেছিলেন, এবং তার নামানুসারে ঐ লিপির নাম হয় ব্রাহ্মীলিপি।"
আলচি বৌদ্ধবিহারের প্রতিষ্ঠাতা কে ?,আলচি বৌদ্ধবিহারের প্রতিষ্ঠাতা হিসেবে রিন-ছেন-ব্জাং-পো (জীবনকাল: ৯৫৮-১০৫৫) নামক বিখ্যাত তিব্বতী বৌদ্ধ পন্ডিতের উল্লেখ করা হয়। কিন্তু রজার গোয়েপ্পার এই বিহারের সবচেয়ে পুরাতন ভবনগুলির মধ্য অন্যতম গ্সুম-ব্র্তসেগ্স মন্দিরটি ত্রয়োদশ শতাব্দীর প্রথম চতুর্থাংশে নির্মিত হয়েছিল বলে হিসেব করেছেন। এই মন্দিরের তৃতীয় তলার প্রবেশদ্বারের দেওয়ালে 'ব্রি-কুং-ব্কা'-ব্র্গ্যুদ ধর্মসম্প্রদায়ের যোগীদের চিত্রে এই ধর্মসম্প্রদায়ের প্রতিষ্ঠাতা 'জিগ-র্তেন-ম্গোন-পো-রিন-ছেন-দ্পালের (জীবনকাল: ১১৪৩-১২১৭) চিত্র শেষে আঁকা হয়েছে বলে মনে করা হয় যে এই মন্দির 'জিগ-র্তেন-ম্গোন-পো-রিন-ছেন-দ্পালের মৃত্যুর পর ত্রয়োদশ শতাব্দীর শুরুতে নির্মিত হয়েছে।[4]:৭৩[5][6] এই সময় আলচি সহ নিম্ন লাদাখ মধ্য তিব্বতের 'ব্রো নামক পরিবারগোষ্ঠীর শাসনাধীন ছিল।
দক্ষিণ আমেরিকা মহাদেশের অন্তর্গত গায়ানা দেশটির সরকারি নাম কী ?,"গায়ানা ([Guyana গায়্যানাআ-ধ্ব-ব: [ɡaɪˈænə]]error: {{lang-xx}}: text has italic markup (help)(উচ্চারন /ɡaɪˈɑːnə/ or /ɡaɪˈænə/),[2][3]) দক্ষিণ আমেরিকা মহাদেশের উত্তর উপকূলে অবস্থিত একটি দেশ। এটি পূর্বে একটি ব্রিটিশ উপনিবেশ ছিল এবং তখন এর নাম ছিল ব্রিটিশ গায়ানা। ১৯৬৬ সালে ১৫০ বছরের ঔপনিবেশিক শাসন শেষে ব্রিটিশ গায়ানা স্বাধীনতা লাভ করে এবং গায়ানা নাম নেয়। গায়ানা একটি আদিবাসী আমেরিকান শব্দ, যার অর্থ ""পানির দেশ""। দেশটির পূর্ণ সরকারি নাম গায়ানা সহযোগিতামূলক প্রজাতন্ত্র (Cooperative Republic of Guyana)। বর্তমানে গায়ানা কমনওয়েল্‌থ অভ নেশন্‌স এর সদস্য। এটি দক্ষিণ আমেরিকার একমাত্র ইংরেজিভাষী রাষ্ট্র। এর রাজধানীর নাম জর্জটাউন।"
এশিয়া কাপ ক্রিকেট টুর্নামেন্ট কত বছর অন্তর হয় ?,এশিয়া কাপ হলো একদিনের আন্তর্জাতিকে পুরুষদের ক্রিকেট টুর্নামেন্ট। এটি চালু হয় ১৯৮৩ সালে যখন এশীয় দেশগুলোর মধ্যে সুনাম প্রচার করার জন্য এশিয়ান ক্রিকেট কাউন্সিল প্রতিষ্ঠা করা হয়। এটি প্রকৃতপক্ষে প্রতি দুই বছর পর পর অনুষ্ঠিত হয়।
বাংলাদেশী কবি ময়ুখ চৌধুরীর বাংলাদেশের কোন বিশ্ববিদ্যালয়ে বাংলা বিভাগে অধ্যাপনা করেছেন ?,"ছাপালেখার তেইশ বছর পর তার প্রথম কাব্যগ্রন্থ কালো বরফের প্রতিবেশী প্রকাশিত হয় ১৯৮৯ সালে[5][7][8] এবং সর্বশেষ কাব্যগ্রন্থ পলাতক পেণ্ডুলাম প্রকাশিত হয় ২০১৫ সালে।[5][9][10][11] সম্পাদনা করেছেন ""প্রতীতি"" ও ""কবিতা"" শিরোনামের দুটি সাহিত্যকাগজ।[4] তিনি চার দশক ধরে চট্টগ্রাম বিশ্ববিদ্যালয়ের বাংলা বিভাগে অধ্যাপনা করেছেন।[4] সাহিত্য অসামান্য অবদানের জন্য ২০১৫ সালে তিনি চট্টগ্রাম সিটি কর্পোরেশন সাহিত্য পুরস্কার লাভ করেন।[4]"
হোমো ইরেকটাসের অস্তিত্ব কতবছর আগে ছিল ?,"হোমো প্রজাতির প্রাথমিক সদস্য হোমো হ্যাবিলিস ২.৪ মিলিয়ন বছর পূর্বে বিকশিত হয়েছিল।[15] হোমো হ্যাবিলিস প্রথম প্রজাতি হিসাবে বিবেচনা করা হয়েছে কারণ তারা যে পাথরের সরঞ্জাম ব্যবহার করত তার সুস্পষ্ট প্রমাণ আছে । সম্প্রতি ২০১৫ সালে, উত্তরপূর্বাঞ্চলীয় কেনিয়াতে যে পাথরের সরঞ্জামগুলি পাওয়া গেছে তা সম্ভবত হোমো হ্যাবিলিসের পূর্বাভাস দিয়েছে যেগুলি প্রায় ৩.৩ মিলিয়ন বছর বয়স পুরাতন ছিল।[16] তবুও, হোমো হ্যাবিলিসের মস্তিষ্কগুলি শিম্পাঞ্জীর মতো একই আকারের ছিল এবং তাদের প্রধান অভিযোজন ছিল পার্থিব জীবনযাত্রার অভিযোজন হিসেবে বাইপেডালিজম (দুপায়ে চলাফেরা করা) । পরের মিলিয়ন বছরে এন্সিফালিজেশন প্রক্রিয়া শুরু হয়েছিল এবং জীবাশ্ম রেকর্ড অনুযায়ী হোমো ইরেক্টাস এর আগমন ঘটেছিল যাদের করোটির ক্ষমতা দ্বিগুণ ছিল। হোমো ইরেক্টাস ছিল প্রথম হোমোনিনা যারা আফ্রিকা ছেড়েছিল এবং এই প্রজাতিগুলি আফ্রিকা, এশিয়া এবং ইউরোপের মধ্যে ১.৩ থেকে ১.৮ মিলিয়ন বছর আগে ছড়িয়ে পড়েছিল। এইচ. ইরেক্টাসের একটি জনগোষ্ঠীকে কখনও কখনও একটি পৃথক প্রজাতি হোমো এরগ্যাস্টার হিসাবে শ্রেণীবদ্ধ করা হয় যারা আফ্রিকায় থাকত এবং পরে হোমো স্যাপিয়েন্সে পরিণত হয়েছিল। বিশ্বাস করা হয় যে তারাই প্রথম অগ্নি এবং জটিল সরঞ্জাম ব্যবহার করত। হোমো এরগ্যাস্টার / ইরেক্টাস এবং আর্কাইক মানুষেরা যেমন হোমো রোডেসিয়েন্সিস আফ্রিকা থেকে এসেছিল, কিন্তু জর্জিয়ার দুমানসিতে তাদের transitional ফর্মগুলি পাওয়া গিয়েছিল। আফ্রিকান হোমো ইরেক্টাস এর বংশধররা ৫০০,০০০ বৎসর পূর্বে ইউরেশিয়ায় ছড়িয়ে পড়েছিল পরে তারা পর্যায়ক্রমে হোমো এন্টিসেসর, হোমো হাইডেলবার্গেনসিস এবং হোমো নিয়ানডার্টালেনসিস এ বিবর্তিত হয়েছিল । আধুনিক মানুষের প্রাচীন জীবাশ্ম মধ্য পেলিওলিথিক প্রায় ২০০,০০০ বছর আগে যেমন ওমো ইথিওপিয়া অবশিষ্ট আছে এবং হার্টোর জীবাশ্মকে কখনও কখনও হোমো স্যাপিয়েন্স ইডাল্টু হিসাবে শ্রেণীবদ্ধ করা হয়। পরবর্তীকালে ইসরায়েল এবং দক্ষিণ ইউরোপ থেকে যে স্কাল বা আর্কাইক হোমো স্যাপিয়েন্সের জীবাশ্ম পাওয়া যায় তা প্রায় ৯০,০০০ বছর আগের ছিল।[17]"
বুর্জ আল-আরব হোটেলটির মালিক কে ?,"বুর্জ আল-আরব সংযুক্ত আরব আমিরাতের দুবাইয়ে অবস্থিত একটি হোটেল। এটি বিশ্বের ৪র্থ সুউচ্চ হোটেল। সমুদ্রের তীর থেকে ২৮০ মিটার সমদ্রের ভেতরে কৃত্রিম একটি দ্বীপের উপর এটি নির্মাণ করা হয়েছে। আরবের পুরনো পালতোলা জাহাজের কাঠামোর অনুকরণে বানানো ভবনটি আরবের ঐতিহ্যের প্রতিনিধি। আরববিশ্বের অন্যতম ধনাঢ্য ব্যক্তি আরব আমিরাতের শাসক শেখ নাহিয়ানের পারিবারিক সম্পত্তি বুর্জ আল আরব। ডেইলি টেলিগ্রাফ-এর বিলাসবহুল ভ্রমন বিষয়ক ম্যাগাজিন,আলট্রা ট্রাভেল-এর পাঠকদের ভোটে “বুর্জ আল আরব” পৃথিবীর একটি বিলাস বহুল হোটেল হিসেবে নির্বাচিত হয়েছে। হোটেলটি 'বেষ্ট হোটেল ইন দ্য ওয়ার্ল্ড' এবং বেষ্ট হোটেল ইন দ্য মিডল ইষ্ট' ক্যাটাগরিতে খুব সম্মানজনক দুটি পুরস্কার পেয়েছে। নির্মাণ করতে ব্যয় হয়েছে ৬৫০ মিলিয়ন মার্কিন ডলার।"
