query_text,gold_passage,hard_negative,llm_classification,is_hard,hardness_score
"Je,mhusika mkuu wa kipindi cha 24 ni nani?","Jack Bauer ni jina la kutaja mhusika mkuu wa kipindi cha televisheni cha Kimarekani maarufu kama 24. Uhusika unachezwa na Kiefer Sutherland. Jack Bauer, amepata mafunzo makali na kufanya kazi katika viwango tofauti akiwa kama kachero wa serikali, ikiwemo na Jeshi la US - Delta Force, LAPD SWAT, CIA, na mwishoni katika Kitengo cha Kuzuia Ugaidi (CTU) cha Los Angeles.",Casablanca ina bandari kubwa ya Moroko[1] ikiwa ni pia kitovu cha benki kubwa za nchi hii. Kufuatana na sensa ya 2012 idadi ya wakazi ilizidi milioni nne katika wilaya yake. Hivyo inatazamiwa kama mji mkuu wa kiuchumi ilhali mji mkuu wa kisiasa ni Rabat.,HARD,True,0.6
"Je,Kool G Rap alizaliwa mwaka upi?","Nathaniel Thomas Wilson (amezaliwa tar. 20 Julai 1968[1]), anafahamika zaidi kwa jina lake la kisanii kama Kool G Rap (au kwa kifupi huitwa G Rap), Kool G. Rap, na Giancana (Maana ya kifupisho cha ""G.""), ni rappa, kutoka mjini Corona jirani na mji wa Queens, New York huko nchini Marekani.[2] Ameanza shughuli zake za kurap katikati mwa miaka ya 1980 akiwa kama nusu ya kundi la Kool G Rap na DJ Polo na pia akiwa kama mwanachama wa Juice Crew.","ラテン語が属するイタリック語派は、インド・ヨーロッパ語族内ではケントゥム語派に分類され、インド・ヨーロッパ祖語の *k および *g はラテン語でも K, G として保たれた。イタリック語派の話者がイタリア半島に現れたのは紀元前2千年紀後半と見られており、ラテン語の話者がラティウム地方（現在のイタリア、ラツィオ州）で定住を開始したのは紀元前8世紀だった。現在発見されているラテン語の最も古い碑文は紀元前7世紀に作られたものである。この時期から紀元前2世紀頃までのラテン語は、のちの時代のラテン語と区別され古ラテン語と呼ばれる。この時代のラテン語は、語彙などの面で隣接していたエトルリア語などの影響を受けた。",HARD,True,0.95
"Je,R. Kelly ni mzaliwa wa nchi gani?","Robert Sylvester Kelly (amezaliwa tar. 8 Januari 1967) ni mwimbaji wa muziki wa R&B na soul-mtunzi wa nyimbo, rapa, na mtayarishaji wa rekodi kutoka nchini Marekani. Anafahamika zaidi kwa jina la kisanii kama R. Kelly. Alianza kuingia katika kazi ya muziki kwa mara kwanza kunako mwaka wa 1992 akiwa na kundi la Public Announcement, halafu baadaye Kelly akaenda kuwa kama msanii wa kujitegemea mnamo 1993 na kuweza kupata mafanikio makubwa kabisa kwa kazi za kujitegemea baada ya kutoa albamu yake ya 12 Play.",Casablanca ina bandari kubwa ya Moroko[1] ikiwa ni pia kitovu cha benki kubwa za nchi hii. Kufuatana na sensa ya 2012 idadi ya wakazi ilizidi milioni nne katika wilaya yake. Hivyo inatazamiwa kama mji mkuu wa kiuchumi ilhali mji mkuu wa kisiasa ni Rabat.,EASY,False,0.5
"Je,sensa nchini Marekani hufanywa kila baada ya miaka ngapi?","Sensa ni utaratibu wa kupata na kutunza habari kuhusu idadi ya watu fulanifulani. Pia ni utaratibu wa mara kwa mara na hesabu rasmi ya idadi ya watu hao. [1] [2] Msamiati hutumiwa zaidi kuhusiana na idadi ya kitaifa na sensa ya mlango kwa mlango (kuchukuliwa kila miaka 10 kulingana na mapendekezo ya Umoja wa Mataifa), na ile ya kilimo na biashara.","KCPE ni ufupisho wa Kenya Certificate of Primary Education, tuzo la cheti kwa wanafunzi baada ya kuhitimu kwa kusoma miaka nane katika elimu ya msingi nchini Kenya. Mitihani yake husimamiwa na Kenya National Examination Council (KNEC), kitengo cha serikali cha kusimamia mitihani nchini Kenya, chini ya Wizara ya Elimu. Kitengo hicho pia husimamia na kufanyia mabadabiriko kwa Cheti cha Masomo ya Upili ya Kenya (KCSE), tuzo la cheti kwa wanafunzi baada ya kumaliza elimu ya sekondari. Vyeti vya KCSE na KCPE vilianzishwa nchini Kenya hapo mwaka wa 1985 wakatmfumo wa elimu wa 8.4.4 ulianzishwa. Maki za juu zaidi ni 500 lakini hiyo aghrabu haiwezekani kutokana na usawasaji (kutolewa kwa baadhi za alama katika kila somo). Mtihani huu hutumiwa kuamua shule ya sekondari ambayo kila mwanafunzi atajiunga nayo.",HARD,True,0.85
"Je,maumivu ya mgongo inahusiana na uti wa mgongo?","Kwa ujumla, dalili zinaonyesha kuongezeka kwa ICP ikiwa ni pamoja na kuumwa na kichwa, kutapika bila kichefuchefu, kufifia kwa misuli, kiwango cha fahamu kilichobadilika, maumivu ya mgongo na kuvimba kwa nerva ya jicho. Iwapo uvimbe wa nerva ya jicho utaongezeka, unaweza kusababisha shida ya kuona, kudhofika kwa nerva, na hatimaye upofu.","Tutuko zosta yana historia ndefu iliyorekodiwa, ingawa rekodi za zimeshindwa kutofautisha kati ya malengelenge yanayosababishwa na VZV na yale yanayosababishwa na ndui, [16] hali ya erogoti na erisipela. Ilikuwa ni mwishoni mwa karne ya kumi na nane ndipo William Heberden alibaini njia ya kutofautisha kati ya tutuko zosta na ndui, [64] na tutuko zosta haikuweza kutofautishwa na erisipela hadi mwisho wa karne ya kumi na tisa. Katika mwaka wa 1831, Richard Bright alitoa nadharia tete kuwa ugonjwa huo ulitoka kwenye ganglioni ya shina la uti wa mgongo, na jambo hili lilithibitishwa katika makala ya 1861 yaliyoandikwa na Felix von Bärunsprung. [65]",HARD,True,0.85
Makao makuu ya Umoja wa Afrika yako wapi?,"Makao makuu ya bunge yapo mjini Midrand (Afrika Kusini, sasa kwa muda katika jengo la Gallagher Estate katikati ya Johannesburg na Pretoria. Afrika Kusini inalipa gharama za makao na za ofisi ya bunge.","Kenya Power and Lighting (KPLC) ni kampuni inayohusika na maambukizi ya umeme na usambazaji wa umeme nchini Kenya. KPLC ni kampuni ya kitaifa ya shirika la umeme inayosimamia upimaji wa mita ya umeme, toleo ya leseni, fakturering, huduma ya umeme wa dharura na mahusiano ya mteja.[1]. Makao makuu ya KPLC yako katika Electricity House, Harambee Avenue jijini Nairobi; inaendesha ofisi mingi kote nchini Kenya.",EASY,False,0.5
"Je,mji wa Lamu inapatikana katika sehemu gani nchi Kenya?","Lamu ni mji mkubwa wa kisiwa cha Lamu kwenye pwani ya Kenya mwenye wakazi mnamo 10,000. Mji ni pia makao makuu ya Kaunti ya Lamu.","Muziki ni sehemu muhimu sana katika utamaduni wa Jamaika. Hasa muziki ya Reggae umejulikana kote duniani. Mwanamuziki mashuhuri hasa wa Jamaika alikuwa Bob Marley na kikundi chake cha ""The Wailers"".",HARD,True,0.6
"Je,Pablo Ruiz Picasso alikuwa na watoto wangapi?",Picasso alioa mara mbili lakini alikuwa na wapenzi wengi. Alizaa watoto wanne na wake watatu. Baada ya kuhamia Paris alibaki huko akakataa kurudi Hispania kwa sababu alimchukia dikteta Francisco Franco. Wakati wa Vita Kuu ya Pili ya Dunia alikaa Paris chini ya utawala wa Wajerumani na wakati ule hakuweza kuonyesha kazi zake kwa sababu siasa ya Ujerumani ilichukia mtindo wake. 1945 alijiunga na chama cha Kikomunisti abakabi mkomunisti hata kama pia siasa ya Umoja wa Kisovyeti haikupenda mtindo wake.,1993 aliachishwa gerezani na rais André Kolingba akaishi miaka kadhaa akafa 3 Novemba 1996 huko Bangui. Bokassa aliacha wake 17 na watoto 50.,EASY,False,0.5
"Je,Leleti Khumalo alizaliwa mwaka upi?","Leleti Khumalo (aliyezaliwa 1970 katika mji wa KwaMashu, kaskazini mwa Durban, Afrika Kusini) ni mwigizaji mwenye asili ya Zulu wa Afrika Kusini ambaye alicheza nafasi ya kuongoza katika filamu ya Sarafina ! sambamba na Whoopi Goldberg na aliyeigiza katika filamu za Hotel Rwanda na Yesterday .","Oliver N'Goma (23 Machi 1959 – 7 Juni 2010) alikuwa mpiga gitaa na mwimbaji wa muziki wa Afro-zouk na reggae kutoka nchini Gabon. Alipewa jina la utani la ""Noli,"" alizaliwa mjini Mayumba huko mjini kusini-mwagharibi mwa nchi ya Gabon mnamo mwaka wa 1959. Alifahamika sana kwa kibao chake cha mwaka wa 1989 Bane, ambacho kilivumishwa sana na Radio Africa N.1 na Gilles Obringer.",HARD,True,0.6
Ezekieli alianza huduma ya unabii akiwa na miaka mingapi?,"Kati ya manabii muhimu zaidi wa Israeli katika Agano la Kale, mmojawapo ni Ezekieli, (kwa Kiebrania יְחֶזְקֵאל, Y'ḥez'qel) aliyefanya kazi miaka 592-570 hivi K.K., kadiri ya ushahidi wa kitabu chake.","Bob Marley alizaliwa na mama mweusi kijana aliyeitwa Cedella Booker na baba wa Kizungu aliyeitwa Norvall Marley. Wakati yungali bwana mdogo, marafiki zake walimpa jina la utani kama ""Tuff Gong"".[1] Alianza kazi zake za muziki kunako miaka ya 1960 hivi akiwa na kundi lake la kina [[Wailing Wailers]], ambalo alilianzisha akiwa na marafiki wawili, Peter Tosh na Bunny Wailer. Mwaka wa 1962, Bob Marley na kina Wailing Wailers wakafanikiwa kurekodi nyimbo zao mbili za kwanza zilizoitwa ""Judge Not"" na ""One Cup of Coffee"".",HARD,True,0.7
Kolo Habib Toure alizaliwa wapi?,"Alizaliwa katika sehemu ya Bouaké, na baada ya jaribio wa muda mfupi, Toure alijiunga na Arsenal mnamo Februari 2002 kutoka ASEC Mimosas kwa paundi £ 150,000. Alipata kibali cha kazi cha Uingereza kutokana na status yake ya kuwa mchezaji wa kimataifa aliyekamilika. Awali alichezeshwa kama mchezaji wa kiungo cha kati wa kushambulia au kama mshambuliaji.","Kolo Habib Toure (alizaliwa mnamo 19 Machi 1981) ni mchezaji kandanda ambaye kwa sasa anaichezea, na ni nahodha wa Manchester City,ambayo ni klabu katika ligi kuu ya Uingereza na huichezea timu ya taifa ya Ivory Coast. Touré ni mchezaji wa kati wa safu ya ulinzi, yaani difenda, na anajulikana kwa kasi yake, nguvu yake na uanaspoti wake. Yeye ni kaka mkubwa wa Yaya Toure, mchezaji wa kuingo cha kati katika klabu ya Barcelona na Ibrahim Touré wa klabu ya Al-Ittihad.",HARD,True,0.6
Osama bin Mohammed bin Awad bin Laden alizaliwa wapi?,Osama bin Laden alizaliwa katika familia tajiri ya Bin Laden wa Saudia. Baada ya masomo yake kwenye chuo kikuu yasiyojulikana kama amayamaliza alifanya kazi katika makampuni ya ujenzi ya familia yake.,"Osama bin Mohammed bin Awad bin Laden (kwa Kiarabu: أسامة بن محمد بن عوض بن لادن‎ ʾusāmah bin muḥammad bin ʿawaḍ bin lādin); * 10 Machi 1957 – + 2 Mei 2011, alikuwa mwanzilishi na kiongozi wa kundi la kigaidi la Al Qaida.",HARD,True,0.6
"Je,rais wa kwanza wa marekani kushinda taji la Nobel ni nani?","Baadhi ya marais wamekuwa muhimu baada ya kuacha kazi ofisi. Maarufu mifano inajumuisha William Howard Taft 's umiliki kama Jaji Mkuu wa Marekani na Herbert Hoover' s kazi ya serikali reorganization baada World War II. Grover Cleveland, ambaye kugombea reelection alishindwa mwaka wa 1888, alichaguliwa rais tena miaka minne baadaye mwaka 1892 . Aliwahi marais wawili wa zamani baada ya kuondoka katika Congress ya White House; John Quincy Adams alichaguliwa na Baraza la Wawakilishi, kuwahudumia huko kwa miaka kumi na saba, na Andrew Johnson alirudi Seneti mwaka 1875. John Tyler kutumikia katika ugawaji Congress ya Marekani ya makundi wakati wa Civil Vita na alichaguliwa kwa makundi Baraza la Wawakilishi, lakini alikufa kabla ulioitishwa. Zaidi hivi karibuni, Richard Nixon alifanya safari nyingi za kigeni kwa nchi pamoja na China na Urusi, na alikuwa lauded kama mzee Scientist. [28] Imekuwa Jimmy Carter global kampeni za haki za binadamu, na uchaguzi arbiter kimataifa kufuatilia, na mpokeaji wa Tuzo ya Amani ya Nobel. Bill Clinton imechukua baadhi ya kazi kama 'mzee Scientist', wengi mashuhuri kwa ushiriki wake katika mazungumzo ambayo imesababisha ya kutolewa kwa Journalist s mbili Marekani, Laura Ling na Euna Lee kutoka Korea ya Kaskazini. Bill Clinton pia imekuwa aktiv kisiasa tangu kumalizika muda wake wa urais, kufanya kazi pamoja na mke wake, Hillary Clinton tarehe yake ya kugombea urais.","Ubingwa wa WWE ulikuwa ubigwa wa kwanza wa dunia ulionzishwa ndani ya WWE mwaka 1963. Bingwa wa uzinduzi alikuwa Buddy Rogers. Kumekuwa na mabingwa tofauti 38, Triple H akiwa anaongoza kwa kushikilia ubingwa mara nyingi; amekuwa bingwa mara nane. [14] Ubingwa wa muda mrefu ulikuwa wa bingwa Bruno Sammartino ambaye alishikilia taji kwa siku 2803 kutoka 17 Mei 1963 hadi 18 Januari 1971. Ubingwa wa muda mfupi ulikuwa wa bingwa André ya Giant ambaye alishikilia taji kwa muda wa sekunde 45 tu. Bingwa wa sasa ni John Cena, ambaye anashilikia taji kwa mara ya tano baada ya kumshinda Randy Orton katika 60-minute Anything Goes Iron Man match kwenye Bragging Rights tarehe 25 Oktoba 2009 katika Pittsburgh, Pennsylvania.",HARD,True,0.6
"Je,William Samoei arap Ruto alikuwa mbunge wa wapi?","Yeye alikuwa Katibu Mkuu wa Kenya African National Union, chama cha siasa kilichotawala zamani, na alikuwa mbunge wa Eldoret Kaskazini tangu mwaka wa 1997.","Wangari Muta Maathai (1 Aprili 1940 – 25 Septemba 2011) alikuwa mwanaharakati wa masuala ya mazingira na haki za wanawake kutoka nchini Kenya. Mwaka wa 2004 alikuwa mshindi wa Tuzo ya Nobel ya Amani.[1] Yeye ni mwanamke Mwafrika wa kwanza kupokea tuzo hilo. Pia, aliwahi kuwa mbunge wa Kenya na waziri msaidizi katika serikali ya Mwai Kibaki kati ya Januari 2003 hadi Novemba 2005.",HARD,True,0.85
Mario Brega alizaliwa wapi?,"Mario Brega (Roma, 5 Machi 1923 - Roma, 23 Julai 1994) alikuwa mwigizaji wa Italia. Brega, kiumbo alionekana kuwa na mwili mkubwa, kitu ambacho kinaashilia kuwa yeye ni jambazi, kama ilivyokuwa katika filamu zake za awali za kutoka western.",Saul Niguez(anajulikana tu kama Saúl; alizaliwa 21 Novemba 1994) ni mchezaji wa soka wa Hispania ambaye anacheza kwa Atlético Madrid kama kiungo wa kati au kijivu.,EASY,False,0.5
"Je, ni nani mmiliki wa klabu ya Chelsea F.C?","Kwa kawaida Chelsea huvaa jezi ya blu, kaptula blu na soksi nyeupe. Nembo ya klabu imebadilishwa mara nyingi kulingana na wakati na kuboresha muonekano wa klabu. Nembo ya sasa inaonesha picha ya simba akiwa amebeba mkuki. Tangu Julai 2003, Chelsea imekuwa ikimilikiwa na Bilionea wa Kirusi, Roman Abramovich.",Willian Borges da Silva (kwa kawaida anajulikana kama Willian; alizaliwa tarehe 9 Agosti 1988) ni mchezaji wa soka wa Brazil ambaye anacheza kama kiungo mshambuliaji katika klabu ya Chelsea na timu ya taifa ya Brazil.,HARD,True,0.6
Elementi ya Ununhexi iligunduliwa na nani?,Elementi iliwahi kutabiriwa na wanasayansi kuwa inaweza kupatikana. Ilitengenezwa mara mbili katika maabara ya taasisi ya utafiti wa kinyuklia huko Dubna (Urusi) kwa kuunganisha kiini atomia kimoja cha Kalsi na kiini kimoja cha Curi.,"Sensa ni utaratibu wa kupata na kutunza habari kuhusu idadi ya watu fulanifulani. Pia ni utaratibu wa mara kwa mara na hesabu rasmi ya idadi ya watu hao. [1] [2] Msamiati hutumiwa zaidi kuhusiana na idadi ya kitaifa na sensa ya mlango kwa mlango (kuchukuliwa kila miaka 10 kulingana na mapendekezo ya Umoja wa Mataifa), na ile ya kilimo na biashara.",HARD,True,0.85
"Je, nini maana ya utawa?",Mtawa ni mtu anayejitenga na ulimwengu ili kuishi maisha maadilifu.,"kutoweza kufikia, au kudumisha madhihiriko ya kutosha ya ulainishaji-uvimbe wa msisimko wa kingono hadi kukamilika kwa shughuli ya kingono,[1] vurugu husababisha dhiki dhahiri au shida kati ya watu, na shida ya kingono haielezwi na tatizo lingine la Jira I (isipokuwa tatizo lingine la kingono) na haitokani tu na madhara ya fiziolojia ya moja kwa moja ya dutu (km., dawa ya dhuluma, dawa) au hali ya jumla ya uuguzi.",HARD,True,0.85
Mnara wa Eiffel ulitengenezwa mwaka upi?,Mnara huu ulijengwa kando ya mto Seine miaka 1887 hadi 1889 kama geti la Maonyesho ya Dunia ya mwaka 1889.,"Alipata ajira katika Wizara ya Kazi na Maendeleo ya Vijana mwaka 2004 akiwa Ofisa Maendeleo kama mwanasheria mpaka mwaka 2005 alipoamua kuacha kazi na kuingia katika kinyang’anyiro cha uchaguzi mkuu wa mwaka 2005, ambako alishiriki kuwapigia kampeni wagombea mbalimbali wa CHADEMA kabla ya kuchaguliwa kuwa mbunge wa viti maalumu.",HARD,True,0.6
Jeff Koinange alisomea chuo kikuu gani?,"Koinange alizaliwa nchini Kenya na alifanya kazi na kituo cha kwanza huru nchini Kenya: KTN (Kenya Television Network). Yeye alihudhuria Shule ya Kingsborough Community mjini Brooklyn, NY, kati ya 1987-1989 na kufuzu kwa kupata shahada. Yeye pia alipata shahada ya Sanaa katika utangazaji na uandishi wa habari kutoka Chuo Kikuu cha New York.","Jeff Koinange (alizaliwa 7 Januari 1966) ni mwandishi wa habari wa televisheni, anayejulikana kuwahi kufanya kazi CNN kama mwandishi wa habari za kutoka Afrika, na kwa CNN International mnamo 2001-2007.",HARD,True,0.6
